model,state,best epoch,test loss,TP_image,TN_image,FN_image,FP_image,precision_image,recall_image,F1_image,accuracy_image,AUROC_image,AUPRC_image,TP_patient,TN_patient,FN_patient,FP_patient,precision_patient,recall_patient,F1_patient,accuracy_patient,AUROC_patient,AUPRC_patient
googlenet,pretrained,14,0.0314,40,52,2,10,0.80000,0.95238,0.86957,0.88462,0.95814,0.91397,30,21,2,5,0.85714,0.93750,0.89552,0.87931,0.94111,0.93204
resnet152,pretrained,18,0.0367,40,48,2,14,0.74074,0.95238,0.83333,0.84615,0.94316,0.92006,30,21,2,5,0.85714,0.93750,0.89552,0.87931,0.92909,0.93493
densenet121,pretrained,6,0.0306,37,49,5,13,0.74000,0.88095,0.80435,0.82692,0.91398,0.84278,27,22,5,4,0.87097,0.84375,0.85714,0.84483,0.92668,0.93417
vgg16bn,pretrained,3,0.0306,35,53,7,9,0.79545,0.83333,0.81395,0.84615,0.93356,0.89315,26,23,6,3,0.89655,0.81250,0.85246,0.84483,0.91827,0.91859
densenet169,pretrained,5,0.0459,42,35,0,27,0.60870,1.00000,0.75676,0.74038,0.92473,0.88998,32,14,0,12,0.72727,1.00000,0.84211,0.79310,0.90986,0.91824
mobilenet,pretrained,16,0.0453,40,47,2,15,0.72727,0.95238,0.82474,0.83654,0.87634,0.75520,30,22,2,4,0.88235,0.93750,0.90909,0.89655,0.90986,0.89601
resnext50_32x4d,pretrained,9,0.0378,40,47,2,15,0.72727,0.95238,0.82474,0.83654,0.90054,0.86741,30,21,2,5,0.85714,0.93750,0.89552,0.87931,0.90745,0.91689
resnet34,pretrained,7,0.0342,41,46,1,16,0.71930,0.97619,0.82828,0.83654,0.91283,0.85671,31,18,1,8,0.79487,0.96875,0.87324,0.84483,0.90625,0.90118
resnet50,pretrained,10,0.0459,40,41,2,21,0.65574,0.95238,0.77670,0.77885,0.83833,0.74866,30,21,2,5,0.85714,0.93750,0.89552,0.87931,0.90625,0.92909
squeezenet10,pretrained,8,0.0364,38,42,4,20,0.65517,0.90476,0.76000,0.76923,0.90783,0.87850,29,19,3,7,0.80556,0.90625,0.85294,0.82759,0.89904,0.91430
wide_resnet50_2,pretrained,36,0.0461,34,44,8,18,0.65385,0.80952,0.72340,0.75000,0.87212,0.83016,26,21,6,5,0.83871,0.81250,0.82540,0.81034,0.89423,0.92149
vgg11,pretrained,35,0.0632,36,45,6,17,0.67925,0.85714,0.75789,0.77885,0.88863,0.81627,28,21,4,5,0.84848,0.87500,0.86154,0.84483,0.89183,0.87388
wide_resnet101_2,pretrained,27,0.0475,42,29,0,33,0.56000,1.00000,0.71795,0.68269,0.84370,0.77745,32,13,0,13,0.71111,1.00000,0.83117,0.77586,0.89183,0.88449
vgg13,pretrained,17,0.0506,39,46,3,16,0.70909,0.92857,0.80412,0.81731,0.90707,0.84922,29,21,3,5,0.85294,0.90625,0.87879,0.86207,0.89063,0.87732
alexnet,pretrained,3,0.0347,38,45,4,17,0.69091,0.90476,0.78351,0.79808,0.90438,0.79406,28,17,4,9,0.75676,0.87500,0.81159,0.77586,0.89063,0.85005
densenet201,pretrained,10,0.0434,35,48,7,14,0.71429,0.83333,0.76923,0.79808,0.87634,0.82393,25,22,7,4,0.86207,0.78125,0.81967,0.81034,0.89063,0.90644
resnet101,pretrained,9,0.0475,41,41,1,21,0.66129,0.97619,0.78846,0.78846,0.90630,0.85490,31,18,1,8,0.79487,0.96875,0.87324,0.84483,0.88942,0.89386
squeezenet11,pretrained,35,0.0673,40,40,2,22,0.64516,0.95238,0.76923,0.76923,0.89209,0.80075,30,16,2,10,0.75000,0.93750,0.83333,0.79310,0.88582,0.89634
mnasnet10,pretrained,1,0.0407,29,50,13,12,0.70732,0.69048,0.69880,0.75962,0.87174,0.80316,20,22,12,4,0.83333,0.62500,0.71429,0.72414,0.88582,0.90797
shufflenet10,pretrained,4,0.0395,32,52,10,10,0.76190,0.76190,0.76190,0.80769,0.86329,0.80352,26,21,6,5,0.83871,0.81250,0.82540,0.81034,0.88101,0.88791
densenet161,pretrained,0,0.0442,34,50,8,12,0.73913,0.80952,0.77273,0.80769,0.84370,0.69537,26,23,6,3,0.89655,0.81250,0.85246,0.84483,0.88101,0.87007
resnet18,pretrained,11,0.0662,42,39,0,23,0.64615,1.00000,0.78505,0.77885,0.89439,0.78175,32,16,0,10,0.76190,1.00000,0.86486,0.82759,0.87981,0.82993
mnasnet05,pretrained,7,0.0428,34,45,8,17,0.66667,0.80952,0.73118,0.75962,0.84716,0.74474,25,19,7,7,0.78125,0.78125,0.78125,0.75862,0.87740,0.89759
vgg13bn,pretrained,2,0.0824,40,37,2,25,0.61538,0.95238,0.74766,0.74038,0.83065,0.69091,30,15,2,11,0.73171,0.93750,0.82192,0.77586,0.87620,0.86962
shufflenet05,pretrained,10,0.0461,42,37,0,25,0.62687,1.00000,0.77064,0.75962,0.87596,0.79416,32,16,0,10,0.76190,1.00000,0.86486,0.82759,0.87500,0.86945
vgg11bn,scratch,14,0.0528,41,31,1,31,0.56944,0.97619,0.71930,0.69231,0.84946,0.72812,31,14,1,12,0.72093,0.96875,0.82667,0.77586,0.87380,0.83674
inception,pretrained,11,0.0517,40,35,2,27,0.59701,0.95238,0.73394,0.72115,0.87711,0.81450,30,14,2,12,0.71429,0.93750,0.81081,0.75862,0.87380,0.89814
vgg13bn,scratch,20,0.0413,32,50,10,12,0.72727,0.76190,0.74419,0.78846,0.87980,0.76754,24,22,8,4,0.85714,0.75000,0.80000,0.79310,0.86659,0.81448
inception,scratch,60,0.0421,28,48,14,14,0.66667,0.66667,0.66667,0.73077,0.82719,0.73325,23,20,9,6,0.79310,0.71875,0.75410,0.74138,0.84736,0.85831
